Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Virtual Mode - Wee Hours Switch,Mode - Wee Hours,676,3c172a97-c3fd-4337-8f61-f358fc707a9f,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Mode Status & State Tracker Tile Device,Virtual Mode Status Tracker Tile,1024,e8c60601-8162-4aa1-ba6e-90c09765783a,Virtual,Virtual Mode Status & State Tracker Tile Driver,,,,jshimota
Virtual Motion While Sleeping Switch,Motion While Sleeping,263,aa214fd3-bf8c-4f37-8696-8a01420c4f3b,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual OWM 2.0 Weather Storage Device,OWM 2.0 Weather Storage,909,ab2e1275-50b7-47cc-99ba-4e9596cfe7d6,Virtual,OpenWeatherMap Multi-API Weather Driver,,,,jshimota
Virtual OWM Air Quality Index Tile Device,OpenWeatherMap AQI Tile,224,5476d6e8-036c-452b-9156-f22bed058d9f,Virtual,OpenWeatherMap-Air Quality-custom,,,,jshimota
Virtual Showering Switch,Showering,168,84b3c65e-758c-41b8-a0fa-1507c36c2ea3,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Speak Humidity Switch,Speak Humidity,150,b6676bfc-c555-4e22-a668-377a2715f654,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual State /Mode Recheck Trigger Device,State / Mode Recheck Trigger,1007,2535c34e-95e1-4ffd-8994-03d58d41528b,Virtual,Virtual Inverse-able Switch w-autoOff and Toggle,,,,jshimota
Virtual Twilight Parser Storage Device,Twilight Parser Storage,312,360e6e5a-a25f-489e-ae32-3e6fd04e30a5,Virtual,Twilight Parser Driver,,,,jshimota
WakeOnLan Win10 (Custom),WOL - Titbeast2,1049,WOL_CHILD_956,Office,WakeOnLan Win10 (Custom),,,,jshimota
AVT - Office Thermostat (Custom),AVT - Office Thermostat (Custom),1030,avt-941,Virtual,Advanced vThermostat Device (Custom),,,,jshimota
Bathroom THIPL Room State Device,Bathroom THIPL Aggregator,952,889,Bathroom,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Bedroom THIPL Room State Device,Bedroom THIPL Aggregator,953,890,Bedroom,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Dining Room THIPL Room State Device,Dining Room THIPL Aggregator,954,891,Dining Room,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Downstairs THIPL Room State Device,Downstairs THIPL Aggregator,964,902,Downstairs,Virtual THIPL Room State Aggregator Driver,,,,jshimota
Virtual Influx Backlog Counter Notification Tile Device,Influx Backlog Counter Tile,939,0654793b-ac01-439d-a640-57adb15cbbdd,Virtual,Notification Tile (Custom),,,,jshimota
Virtual Notifications Tile Device,Notifications Tile,49,486ac405-b683-4388-ba8d-ef2a60c7f97c,Virtual,Notification Tile (Custom),,,,jshimota
Virtual Simple Garage Door Controller,Simple Garage Door Controller,439,fb35f238-94ad-42c1-b57c-eadaf0cc309d,Virtual,Virtual Simple Garage Door Controller (Custom),,,,jshimota
Virtual Sun Notification Storage Device,Sun Notification Storage,458,39613401-d2ef-477f-a321-85d1462e0120,Virtual,Notification Tile (Custom),,,,jshimota
Office Hubitat C7 Dundee-Home Hub,Office Hubitat Hub,146,f5c2feb7-16c7-4bf3-8f4f-4a74e477ba18,Office,Hub Information Driver v3,,,,thebearmay
Dining Room TPLink Light Dimming Switch,Dining Room Dimmer,576,8C902D204456,Dining Room,TpLink Dimmer,,,,davegut
File Manager+,File Manager+,593,FileManager+Device,Virtual,File Manager+ Device,,,,jpage4500
Guest Bathroom TPLink Vanity Dimmer Light Switch,Guest Bathroom Vanity Dimmer,680,3068932CE2C1,Guest Bathroom,TpLink Dimmer,,,,davegut
Laundry Room TPLink Vanity Dimming Switch,Laundry Room Vanity Dimmer,582,3068932CF434,Laundry Room,TpLink Dimmer,,,,davegut
Virtual Zone Motion Bathroom Motion Sensor,ZM - Bathroom Motion,380,mZone_486,Bathroom,Motion Zone Motion Sensor,,,,hubitat
Virtual Zone Motion Guest Bath Motion Sensor,ZM - Guest Bath Motion,474,mZone_607,Guest Bathroom,Motion Zone Motion Sensor,,,,hubitat
Virtual Zone Motion Kitchen Motion Sensor,ZM - Kitchen Motion,465,mZone_603,Kitchen,Motion Zone Motion Sensor,,,,hubitat
Virtual Zone Motion Office Motion Sensor,ZM - Office Motion,178,mZone_166,Office,Motion Zone Motion Sensor,,,,hubitat
Virtual Zone Motion Stairwell Motion Sensor,ZM - Stairwell Motion,580,mZone_737,Stairwell,Motion Zone Motion Sensor,,,,hubitat
Zigbee Map Helper,Zigbee Map Helper,824,ZMH-845,Virtual,Zigbee Map Helper,,,,dandanache
