Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Garage Door Opener Sonoff Relay,Garage Door Opener Relay,437,7110,Garage,Sonoff GDO Relay Driver (Custom),SONOFF,MINI-ZBD,1.0.0,jshimota
Guest Bathroom Sonoff Temp/Humidity Sensor,Guest Bathroom Temp/Humidity,226,A841,Guest Bathroom,Sonoff Zigbee Temperature/Humidity Sensor,SONOFF,SNZB-02D,1.0.9,hubitat
Living Room Third Reality Left Ambiance Lamp Bulb,Living Room Left Ambiance Lamp,73,5AA6,Living Room,Third Reality RGBW Bulb (Custom),"Third Reality, Inc",3RCB01057Z,0000004A,jshimota
Living Room Third Reality Right Ambiance Lamp Bulb,Living Room Right Ambiance Lamp,72,1D33,Living Room,Third Reality RGBW Bulb (Custom),"Third Reality, Inc",3RCB01057Z,0000004A,jshimota
Garage Rolling Door Third Reality Closed Contact Sensor,Garage Rolling Door Closed Contact,440,501D,Garage,Third Reality Contact Sensor (Custom),"Third Reality, Inc",3RDS17BZ,0000003F,jshimota
Garage-Foyer Door Third Reality Contact Sensor,Garage-Foyer Door Contact,270,D79F,Entryway,Third Reality Contact Sensor (Custom),"Third Reality, Inc",3RDS17BZ,0000003F,jshimota
Linen Closet Third Reality Contact Sensor,Linen Closet Contact,588,916E,Hallway,Third Reality Contact Sensor (Custom),"Third Reality, Inc",3RDS17BZ,0000003F,jshimota
Patio Door Third Reality Contact Sensor,Patio Door Contact,271,91EA,Patio,Third Reality Contact Sensor (Custom),"Third Reality, Inc",3RDS17BZ,v1.00.63,jshimota
Bedroom Closet Third Reality Motion Sensor,Bedroom Closet Motion,648,555F,Bedroom,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
Bedroom Third Reality Motion Sensor,Bedroom Motion,55,1FD9,Bedroom,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
Dining Room Third Reality Motion Sensor,Dining Room Motion,48,03D0,Dining Room,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
Garage Third Reality Motion Sensor,Garage Motion,1041,99DB,Garage,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
Kitchen Third Reality Stove Motion Sensor,Kitchen Stove Motion,176,FE24,Kitchen,Third Reality Motion Sensor (Custom),"Third Reality, Inc",3RMS16BZ,0000004F,jshimota
